Initializing EZ430-RF2500
    2433MHz-2473MHz @ 200.00KHz, 200 samples
2012-03-24 17:01:17 frame: [-101,-100,-99,-96,-92,-94,-91,-95,-97,-98,-98,-97,-97,-94,-97,-96,-96,-100,-98,-94,-97,-97,-95,-95,-95,-94,-100,-93,-98,-100,-95,-96,-100,-95,-95,-95,-94,-98,-101,-100,-94,-97,-99,-99,-94,-97,-94,-93,-97,-97,-100,-97,-95,-98,-95,-95,-95,-97,-96,-96,-98,-95,-97,-100,-96,-101,-97,-98,-94,-96,-96,-97,-95,-94,-93,-99,-96,-97,-97,-100,-94,-98,-100,-100,-96,-100,-98,-95,-96,-102,-97,-96,-98,-96,-101,-96,-98,-100,-96,-97,-97,-95,-92,-100,-97,-95,-97,-93,-99,-95,-94,-97,-99,-99,-98,-98,-100,-98,-96,-93,-96,-91,-95,-84,-100,-97,-97,-100,-101,-99,-98,-96,-94,-97,-100,-93,-99,-96,-96,-94,-98,-96,-88,-101,-96,-97,-94,-98,-95,-97,-92,-99,-99,-99,-95,-93,-93,-94,-99,-104,-96,-97,-94,-98,-97,-101,-95,-96,-96,-101,-96,-96,-98,-96,-97,-93,-95,-97,-98,-99,-99,-100,-97,-96,-98,-95,-95,-96,-95,-94,-95,-96,-96,-93,-96,-93,-91,-96,-100,-93,] :200
2012-03-24 17:01:18 frame: [-97,-96,-94,-92,-96,-91,-98,-93,-94,-97,-94,-93,-98,-97,-95,-97,-99,-96,-99,-100,-96,-96,-95,-97,-98,-95,-94,-97,-99,-101,-98,-92,-100,-94,-99,-98,-95,-95,-100,-95,-95,-95,-97,-97,-97,-91,-98,-98,-92,-95,-97,-101,-102,-99,-94,-98,-98,-97,-97,-94,-94,-98,-95,-93,-98,-95,-97,-93,-97,-102,-94,-101,-95,-100,-99,-94,-96,-98,-94,-93,-95,-97,-95,-92,-98,-98,-94,-98,-97,-101,-96,-100,-98,-98,-93,-96,-97,-96,-95,-100,-97,-98,-96,-94,-94,-96,-98,-96,-93,-93,-99,-93,-100,-103,-101,-92,-97,-97,-96,-92,-92,-92,-96,-96,-96,-101,-96,-95,-97,-96,-94,-92,-97,-102,-98,-104,-95,-95,-96,-100,-96,-95,-93,-96,-92,-93,-101,-94,-95,-96,-93,-98,-97,-99,-94,-97,-94,-97,-96,-99,-97,-101,-98,-97,-97,-96,-97,-91,-95,-99,-94,-96,-95,-94,-97,-98,-99,-97,-99,-101,-99,-93,-96,-99,-97,-97,-93,-99,-94,-99,-96,-95,-98,-99,-94,-95,-96,-98,-96,-100,] :200
2012-03-24 17:01:19 frame: [-95,-97,-104,-99,-97,-94,-94,-97,-99,-94,-105,-95,-99,-97,-102,-98,-96,-95,-99,-97,-96,-99,-93,-98,-96,-100,-95,-94,-99,-98,-97,-97,-97,-96,-97,-94,-97,-94,-97,-101,-96,-94,-97,-95,-94,-97,-97,-94,-98,-98,-100,-98,-95,-99,-96,-100,-98,-96,-100,-102,-97,-95,-96,-99,-98,-98,-96,-95,-98,-96,-95,-97,-97,-102,-101,-95,-96,-100,-96,-100,-96,-99,-98,-104,-96,-94,-96,-99,-96,-96,-98,-96,-93,-104,-99,-96,-99,-90,-94,-96,-98,-95,-95,-94,-92,-95,-96,-98,-95,-101,-98,-94,-97,-95,-98,-86,-99,-95,-98,-94,-98,-98,-98,-92,-95,-96,-95,-98,-97,-99,-97,-95,-99,-100,-99,-92,-98,-98,-96,-93,-96,-99,-101,-97,-94,-91,-96,-97,-98,-93,-97,-96,-94,-95,-91,-94,-96,-94,-93,-98,-93,-93,-98,-98,-97,-99,-98,-97,-95,-96,-97,-96,-96,-97,-92,-96,-96,-98,-93,-99,-99,-95,-102,-96,-95,-91,-92,-101,-98,-99,-93,-99,-95,-97,-97,-96,-96,-96,-99,-100,] :200
2012-03-24 17:01:20 frame: [-94,-96,-97,-97,-97,-95,-95,-93,-92,-100,-95,-91,-96,-94,-96,-98,-98,-96,-100,-98,-98,-96,-99,-99,-91,-98,-98,-95,-99,-99,-94,-98,-95,-95,-98,-94,-99,-97,-94,-98,-97,-98,-93,-95,-95,-92,-100,-97,-96,-95,-95,-95,-98,-95,-95,-90,-100,-105,-93,-96,-97,-101,-96,-96,-100,-97,-95,-96,-94,-92,-94,-96,-99,-95,-92,-94,-96,-95,-97,-94,-93,-100,-100,-97,-94,-96,-94,-95,-99,-98,-98,-95,-100,-95,-97,-95,-98,-96,-100,-101,-96,-94,-96,-94,-95,-95,-98,-98,-92,-98,-98,-96,-96,-93,-100,-98,-101,-98,-95,-95,-95,-94,-95,-102,-97,-94,-92,-95,-98,-99,-93,-98,-101,-98,-81,-96,-95,-98,-98,-96,-97,-95,-97,-94,-95,-94,-97,-94,-98,-98,-94,-102,-98,-96,-97,-96,-96,-96,-97,-92,-95,-96,-96,-99,-98,-98,-101,-101,-95,-96,-99,-92,-99,-99,-101,-94,-100,-99,-99,-96,-101,-94,-98,-96,-94,-95,-95,-98,-97,-100,-94,-95,-99,-102,-99,-96,-99,-99,-94,-100,] :200
2012-03-24 17:01:21 frame: [-95,-94,-95,-94,-99,-95,-94,-94,-96,-100,-101,-96,-95,-94,-94,-99,-96,-99,-96,-95,-97,-95,-95,-100,-95,-98,-90,-95,-94,-97,-97,-95,-95,-98,-97,-97,-97,-99,-93,-100,-98,-95,-97,-91,-93,-100,-94,-99,-97,-95,-98,-96,-98,-99,-94,-100,-99,-100,-95,-98,-100,-99,-93,-99,-96,-97,-92,-97,-95,-97,-98,-95,-94,-98,-100,-97,-98,-98,-93,-95,-95,-96,-96,-99,-97,-97,-97,-97,-96,-95,-97,-97,-98,-95,-100,-97,-97,-95,-99,-94,-95,-94,-92,-99,-98,-94,-92,-94,-97,-98,-97,-97,-97,-99,-98,-97,-93,-96,-100,-97,-96,-94,-96,-99,-96,-95,-95,-97,-93,-94,-98,-98,-97,-95,-95,-97,-96,-95,-95,-95,-94,-100,-97,-98,-100,-100,-99,-91,-100,-97,-97,-95,-98,-99,-100,-97,-95,-94,-95,-102,-98,-96,-97,-95,-97,-95,-96,-98,-94,-94,-95,-94,-100,-98,-98,-98,-96,-96,-92,-99,-98,-95,-105,-101,-92,-96,-94,-97,-94,-97,-95,-96,-95,-95,-101,-100,-96,-99,-99,-96,] :200
2012-03-24 17:01:22 frame: [-96,-98,-96,-98,-96,-92,-102,-98,-96,-90,-94,-92,-98,-95,-102,-97,-90,-96,-95,-101,-97,-94,-99,-92,-92,-99,-100,-97,-94,-97,-97,-99,-95,-100,-94,-94,-96,-94,-97,-98,-98,-97,-99,-94,-97,-96,-97,-97,-97,-92,-96,-95,-97,-94,-99,-100,-97,-102,-100,-94,-96,-97,-98,-92,-95,-96,-97,-98,-100,-93,-99,-94,-99,-95,-93,-97,-99,-97,-97,-98,-98,-101,-95,-96,-95,-95,-96,-94,-94,-98,-97,-92,-101,-98,-93,-98,-98,-97,-96,-99,-99,-100,-98,-99,-93,-97,-97,-97,-102,-93,-95,-94,-93,-95,-97,-95,-98,-93,-95,-95,-92,-92,-95,-92,-95,-93,-97,-93,-100,-96,-96,-93,-97,-93,-97,-94,-93,-94,-95,-95,-98,-94,-95,-93,-98,-93,-98,-100,-97,-97,-97,-97,-101,-95,-99,-97,-98,-99,-94,-93,-79,-96,-95,-100,-102,-98,-98,-95,-94,-93,-92,-97,-97,-93,-97,-93,-100,-97,-99,-97,-97,-97,-100,-95,-96,-95,-92,-98,-97,-96,-96,-96,-95,-97,-96,-95,-95,-95,-96,-102,] :200
2012-03-24 17:01:23 frame: [-99,-97,-97,-97,-94,-98,-95,-98,-99,-93,-97,-98,-100,-98,-98,-96,-98,-101,-94,-96,-96,-99,-96,-94,-95,-94,-91,-94,-94,-98,-89,-98,-97,-96,-101,-95,-94,-99,-99,-95,-94,-94,-98,-92,-102,-98,-94,-95,-97,-96,-95,-97,-97,-92,-100,-93,-98,-96,-98,-92,-94,-99,-102,-95,-100,-95,-92,-98,-94,-93,-100,-94,-93,-96,-96,-99,-102,-97,-96,-99,-95,-98,-97,-101,-94,-97,-97,-94,-95,-96,-96,-97,-94,-97,-96,-97,-101,-93,-100,-93,-96,-97,-97,-96,-95,-93,-98,-95,-88,-94,-100,-95,-99,-96,-96,-100,-100,-99,-95,-93,-96,-97,-98,-100,-98,-97,-98,-99,-96,-94,-99,-94,-93,-93,-92,-92,-99,-93,-98,-97,-95,-91,-100,-93,-100,-93,-93,-100,-99,-93,-95,-94,-97,-97,-100,-98,-100,-100,-97,-97,-97,-95,-101,-95,-98,-95,-100,-92,-95,-94,-96,-95,-98,-97,-101,-96,-95,-92,-96,-93,-96,-97,-102,-95,-98,-92,-95,-100,-98,-91,-101,-97,-94,-97,-96,-93,-98,-98,-96,-95,] :200
2012-03-24 17:01:24 frame: [-104,-98,-95,-95,-95,-97,-97,-96,-92,-97,-97,-100,-99,-98,-95,-96,-96,-96,-97,-95,-98,-97,-92,-92,-95,-95,-98,-93,-97,-96,-93,-93,-97,-96,-96,-94,-99,-97,-95,-99,-94,-97,-95,-97,-100,-94,-97,-94,-97,-97,-94,-95,-97,-97,-90,-96,-96,-92,-94,-93,-95,-95,-96,-94,-95,-96,-93,-98,-92,-94,-95,-92,-101,-96,-95,-94,-98,-100,-96,-101,-98,-94,-93,-97,-99,-91,-97,-93,-93,-93,-95,-94,-97,-95,-97,-98,-92,-96,-94,-98,-98,-96,-89,-96,-97,-97,-92,-98,-98,-97,-98,-99,-93,-97,-98,-91,-91,-97,-96,-90,-91,-95,-98,-97,-96,-97,-99,-97,-96,-98,-97,-77,-97,-95,-96,-96,-95,-99,-99,-93,-95,-98,-95,-98,-93,-96,-100,-100,-98,-96,-90,-92,-94,-96,-96,-96,-93,-100,-99,-96,-97,-101,-96,-101,-96,-92,-96,-101,-94,-93,-101,-96,-96,-94,-96,-98,-103,-98,-101,-96,-94,-98,-93,-97,-91,-96,-94,-98,-91,-103,-94,-93,-96,-96,-97,-96,-95,-98,-99,-96,] :200
2012-03-24 17:01:25 frame: [-99,-91,-93,-96,-92,-90,-99,-93,-95,-91,-94,-97,-99,-98,-96,-93,-99,-96,-102,-96,-94,-96,-93,-93,-93,-95,-99,-97,-95,-96,-95,-97,-94,-96,-94,-96,-95,-100,-92,-95,-96,-98,-98,-101,-102,-97,-94,-99,-94,-104,-94,-97,-95,-94,-95,-99,-94,-99,-93,-97,-98,-99,-96,-98,-94,-93,-98,-99,-95,-97,-95,-93,-95,-100,-97,-98,-99,-95,-95,-98,-97,-98,-99,-93,-94,-99,-95,-99,-96,-93,-98,-95,-94,-96,-97,-95,-100,-101,-91,-95,-93,-93,-94,-95,-98,-100,-98,-100,-96,-97,-98,-100,-97,-95,-95,-94,-95,-98,-97,-95,-94,-98,-98,-95,-92,-96,-94,-94,-102,-97,-96,-94,-95,-93,-84,-97,-93,-98,-100,-103,-90,-98,-96,-94,-97,-94,-95,-95,-91,-95,-98,-99,-96,-94,-94,-96,-98,-99,-98,-93,-92,-94,-91,-91,-97,-97,-99,-94,-95,-98,-97,-97,-96,-89,-97,-95,-99,-97,-94,-100,-100,-95,-98,-97,-94,-97,-94,-95,-92,-96,-95,-92,-99,-100,-98,-95,-99,-100,-95,-92,] :200
2012-03-24 17:01:27 frame: [-96,-93,-96,-96,-99,-97,-91,-98,-95,-96,-98,-94,-98,-93,-94,-97,-95,-94,-96,-97,-97,-95,-95,-98,-99,-97,-97,-96,-94,-93,-97,-95,-96,-95,-96,-95,-99,-98,-92,-93,-94,-99,-94,-97,-94,-93,-97,-95,-96,-91,-99,-95,-97,-99,-99,-98,-96,-95,-97,-92,-96,-94,-95,-92,-94,-98,-93,-98,-94,-95,-98,-96,-92,-96,-95,-100,-97,-91,-94,-92,-93,-98,-98,-98,-95,-96,-91,-94,-92,-97,-97,-95,-102,-91,-97,-96,-94,-94,-93,-100,-95,-94,-97,-93,-99,-95,-97,-95,-100,-93,-97,-97,-95,-100,-97,-94,-98,-95,-95,-96,-94,-90,-92,-95,-96,-96,-96,-93,-98,-93,-91,-94,-100,-97,-96,-92,-95,-98,-91,-100,-95,-95,-98,-98,-93,-100,-92,-95,-102,-94,-97,-99,-100,-100,-99,-93,-93,-94,-95,-96,-96,-96,-95,-97,-98,-96,-96,-96,-94,-90,-98,-94,-96,-96,-94,-98,-94,-101,-97,-93,-94,-94,-99,-93,-92,-93,-94,-100,-97,-97,-100,-98,-99,-96,-90,-96,-96,-94,-97,-93,] :200
